DateTime,M2 Global Supply (USD)
2013-05-20 0:00,5.92E+13
2013-05-27 0:00,5.95E+13
2013-06-03 0:00,6.01E+13
2013-06-10 0:00,6.06E+13
2013-06-17 0:00,5.98E+13
2013-06-24 0:00,5.99E+13
2013-07-01 0:00,5.94E+13
2013-07-08 0:00,5.99E+13
2013-07-15 0:00,5.99E+13
2013-07-22 0:00,6.03E+13
2013-07-29 0:00,6.03E+13
2013-08-05 0:00,6.07E+13
2013-08-12 0:00,6.06E+13
2013-08-19 0:00,6.04E+13
2013-08-26 0:00,6.06E+13
2013-09-02 0:00,6.06E+13
2013-09-09 0:00,6.08E+13
2013-09-16 0:00,6.11E+13
2013-09-23 0:00,6.12E+13
2013-09-30 0:00,6.17E+13
2013-10-07 0:00,6.16E+13
2013-10-14 0:00,6.20E+13
2013-10-21 0:00,6.21E+13
2013-10-28 0:00,6.17E+13
2013-11-04 0:00,6.15E+13
2013-11-11 0:00,6.16E+13
2013-11-18 0:00,6.15E+13
2013-11-25 0:00,6.18E+13
2013-12-02 0:00,6.19E+13
2013-12-09 0:00,6.19E+13
2013-12-16 0:00,6.17E+13
2013-12-23 0:00,6.18E+13
2013-12-30 0:00,6.23E+13
2014-01-06 0:00,6.25E+13
2014-01-13 0:00,6.23E+13
2014-01-20 0:00,6.25E+13
2014-01-27 0:00,6.27E+13
2014-02-03 0:00,6.28E+13
2014-02-10 0:00,6.30E+13
2014-02-17 0:00,6.29E+13
2014-02-24 0:00,6.32E+13
2014-03-03 0:00,6.32E+13
2014-03-10 0:00,6.33E+13
2014-03-17 0:00,6.28E+13
2014-03-24 0:00,6.29E+13
2014-03-31 0:00,6.34E+13
2014-04-07 0:00,6.37E+13
2014-04-14 0:00,6.35E+13
2014-04-21 0:00,6.35E+13
2014-04-28 0:00,6.39E+13
2014-05-05 0:00,6.39E+13
2014-05-12 0:00,6.39E+13
2014-05-19 0:00,6.38E+13
2014-05-26 0:00,6.41E+13
2014-06-02 0:00,6.40E+13
2014-06-09 0:00,6.42E+13
2014-06-16 0:00,6.42E+13
2014-06-23 0:00,6.44E+13
2014-06-30 0:00,6.49E+13
2014-07-07 0:00,6.50E+13
2014-07-14 0:00,6.48E+13
2014-07-21 0:00,6.47E+13
2014-07-28 0:00,6.45E+13
2014-08-04 0:00,6.46E+13
2014-08-11 0:00,6.46E+13
2014-08-18 0:00,6.42E+13
2014-08-25 0:00,6.43E+13
2014-09-01 0:00,6.40E+13
2014-09-08 0:00,6.37E+13
2014-09-15 0:00,6.34E+13
2014-09-22 0:00,6.32E+13
2014-09-29 0:00,6.31E+13
2014-10-06 0:00,6.34E+13
2014-10-13 0:00,6.36E+13
2014-10-20 0:00,6.34E+13
2014-10-27 0:00,6.30E+13
2014-11-03 0:00,6.26E+13
2014-11-10 0:00,6.25E+13
2014-11-17 0:00,6.23E+13
2014-11-24 0:00,6.26E+13
2014-12-01 0:00,6.21E+13
2014-12-08 0:00,6.22E+13
2014-12-15 0:00,6.18E+13
2014-12-22 0:00,6.17E+13
2014-12-29 0:00,6.22E+13
2015-01-05 0:00,6.21E+13
2015-01-12 0:00,6.20E+13
2015-01-19 0:00,6.15E+13
2015-01-26 0:00,6.18E+13
2015-02-02 0:00,6.17E+13
2015-02-09 0:00,6.19E+13
2015-02-16 0:00,6.18E+13
2015-02-23 0:00,6.20E+13
2015-03-02 0:00,6.13E+13
2015-03-09 0:00,6.08E+13
2015-03-16 0:00,6.15E+13
2015-03-23 0:00,6.16E+13
2015-03-30 0:00,6.26E+13
2015-04-06 0:00,6.18E+13
2015-04-13 0:00,6.23E+13
2015-04-20 0:00,6.24E+13
2015-04-27 0:00,6.29E+13
2015-05-04 0:00,6.31E+13
2015-05-11 0:00,6.35E+13
2015-05-18 0:00,6.28E+13
2015-05-25 0:00,6.30E+13
2015-06-01 0:00,6.30E+13
2015-06-08 0:00,6.33E+13
2015-06-15 0:00,6.36E+13
2015-06-22 0:00,6.32E+13
2015-06-29 0:00,6.37E+13
2015-07-06 0:00,6.37E+13
